timestamp,app_name,window_title,duration_seconds,is_productive
2025-04-07 11:27:29,code.exe,app.py - nocrastinator-py-main - Visual Studio Code,4.0,True
2025-04-07 11:27:36,python.exe,Productivity Tracker,7.01,None
2025-04-07 11:27:43,code.exe,app.py - nocrastinator-py-main - Visual Studio Code,7.03,True
2025-04-07 11:27:52,explorer.exe,Desktop - File Explorer,9.01,None
2025-04-07 11:27:56,explorer.exe,Home - File Explorer,4.0,None
2025-04-07 11:27:57,explorer.exe,,1.06,None
2025-04-07 11:28:03,msedge.exe,Netflix,6.02,False
2025-04-07 11:28:05,explorer.exe,Home - File Explorer,2.0,None
2025-04-07 11:28:07,code.exe,app.py - nocrastinator-py-main - Visual Studio Code,2.0,True
2025-04-07 11:28:08,explorer.exe,Downloads - File Explorer,1.0,None
2025-04-07 11:28:25,code.exe,app.py - nocrastinator-py-main - Visual Studio Code,17.01,True
2025-04-07 11:28:32,code.exe,activity_tracker.md - nocrastinator-py-main - Visual Studio Code,7.01,True
2025-04-07 11:28:33,code.exe,focus_score.md - nocrastinator-py-main - Visual Studio Code,1.0,True
2025-04-07 11:28:34,code.exe,main.md - nocrastinator-py-main - Visual Studio Code,1.0,True
2025-04-07 11:28:43,code.exe,app.md - nocrastinator-py-main - Visual Studio Code,9.01,True
2025-04-07 11:28:49,code.exe,activity_tracker.md - nocrastinator-py-main - Visual Studio Code,6.01,True
2025-04-07 11:28:50,chrome.exe,GitHub - MeDeveloperWeb/nocrastinator-py - Google Chrome,1.0,True
2025-04-07 11:29:02,chrome.exe,(50) WhatsApp - Google Chrome,12.02,True
2025-04-07 11:29:04,code.exe,activity_tracker.md - nocrastinator-py-main - Visual Studio Code,2.0,True
2025-04-07 11:29:10,code.exe,app.md - nocrastinator-py-main - Visual Studio Code,6.01,True
2025-04-07 11:29:15,code.exe,focus_score.md - nocrastinator-py-main - Visual Studio Code,5.0,True
2025-04-07 11:29:20,chrome.exe,(50) WhatsApp - Google Chrome,5.01,True
2025-04-07 11:29:22,code.exe,focus_score.md - nocrastinator-py-main - Visual Studio Code,2.0,True
2025-04-07 11:29:29,code.exe,main.md - nocrastinator-py-main - Visual Studio Code,7.01,True
2025-04-07 11:29:33,code.exe,pomodoro.md - nocrastinator-py-main - Visual Studio Code,4.0,True
2025-04-07 11:29:34,explorer.exe,,1.0,None
2025-04-07 11:29:42,chrome.exe,(50) WhatsApp - Google Chrome,8.01,True
2025-04-07 11:29:46,code.exe,pomodoro.md - nocrastinator-py-main - Visual Studio Code,4.0,True
2025-04-07 11:31:57,code.exe,app.md - nocrastinator-py-main - Visual Studio Code,131.1,True
2025-04-07 11:32:00,chrome.exe,(50) WhatsApp - Google Chrome,3.0,True
2025-04-07 11:32:04,chrome.exe,New Tab - Google Chrome,4.0,True
2025-04-07 11:32:13,chrome.exe,json means what - Google Search - Google Chrome,9.01,True
2025-04-07 11:34:56,code.exe,app.md - nocrastinator-py-main - Visual Studio Code,163.13,True
2025-04-07 11:35:34,python.exe,Productivity Tracker,38.1,None
2025-04-07 11:35:36,explorer.exe,,2.0,None
2025-04-07 11:35:39,chrome.exe,json means what - Google Search - Google Chrome,3.0,True
2025-04-07 11:35:43,python.exe,Productivity Tracker,4.0,None
2025-04-07 11:35:47,msedge.exe,Netflix,4.01,False
2025-04-07 11:35:49,python.exe,Productivity Tracker,2.0,None
2025-04-07 11:35:50,explorer.exe,,1.0,None
2025-04-07 11:36:54,msedge.exe,Netflix,63.43,False
2025-04-07 11:37:09,python.exe,Productivity Tracker,15.02,None
2025-04-07 11:37:23,msedge.exe,Netflix,14.01,False
2025-04-07 11:37:26,explorer.exe,,3.0,None
2025-04-07 11:37:37,python.exe,Productivity Tracker,11.01,None
2025-04-07 11:38:54,msedge.exe,Netflix,77.1,False
2025-04-07 11:38:59,python.exe,Productivity Tracker,5.01,None
2025-04-07 11:39:03,msedge.exe,Netflix,4.01,False
2025-04-07 11:39:05,explorer.exe,Snap Assist,2.0,None
2025-04-07 11:39:07,msedge.exe,Netflix,2.0,False
2025-04-07 11:39:24,python.exe,Productivity Tracker,17.01,None
2025-04-07 11:39:26,explorer.exe,,2.0,None
2025-04-07 11:39:28,code.exe,app.md - nocrastinator-py-main - Visual Studio Code,2.01,True
2025-04-07 11:39:29,code.exe,README.md - nocrastinator-py-main - Visual Studio Code,1.0,True
2025-04-07 11:39:30,code.exe,activity_tracker.md - nocrastinator-py-main - Visual Studio Code,1.0,True
2025-04-07 11:39:31,code.exe,.gitignore - nocrastinator-py-main - Visual Studio Code,1.0,True
2025-04-07 11:39:33,code.exe,activity_tracker.md - nocrastinator-py-main - Visual Studio Code,2.0,True
2025-04-07 11:39:35,code.exe,requirements.txt - nocrastinator-py-main - Visual Studio Code,2.0,True
2025-04-07 11:39:40,code.exe,activity_tracker.md - nocrastinator-py-main - Visual Studio Code,5.01,True
2025-04-07 11:39:45,code.exe,activity_log.csv - nocrastinator-py-main - Visual Studio Code,5.0,True
2025-04-07 11:40:01,code.exe,focus_scores.json - nocrastinator-py-main - Visual Studio Code,16.01,True
2025-04-07 11:40:02,code.exe,app.md - nocrastinator-py-main - Visual Studio Code,1.0,True
2025-04-07 11:40:57,python.exe,Productivity Tracker,55.05,None
2025-04-07 11:40:58,explorer.exe,,1.0,None
2025-04-07 11:41:07,explorer.exe,,6.03,None
2025-04-07 11:41:13,searchhost.exe,Search,6.01,None
2025-04-07 11:41:15,explorer.exe,,2.0,None
2025-04-07 11:41:20,spotify.exe,Spotify,5.01,False
2025-04-07 11:41:22,python.exe,Productivity Tracker,2.0,None
2025-04-07 11:41:23,spotify.exe,Spotify,1.0,False
2025-04-07 11:41:25,python.exe,Productivity Tracker,2.0,None
2025-04-07 11:42:40,spotify.exe,Spotify,75.1,False
2025-04-07 11:42:44,python.exe,Productivity Tracker,4.0,None
2025-04-07 11:42:46,spotify.exe,Spotify,2.01,False
2025-04-07 11:42:48,python.exe,Productivity Tracker,2.0,None
2025-04-07 11:42:54,spotify.exe,Spotify,6.01,False
2025-04-07 11:42:55,explorer.exe,,1.0,None
2025-04-07 11:42:58,code.exe,hello.php - htdocs - Visual Studio Code,3.0,True
2025-04-07 11:42:59,code.exe,app.md - nocrastinator-py-main - Visual Studio Code,1.0,True
2025-04-07 11:43:02,code.exe,activity_tracker.md - nocrastinator-py-main - Visual Studio Code,3.01,True
2025-04-07 11:43:14,code.exe,activity_tracker.py - nocrastinator-py-main - Visual Studio Code,12.01,True
2025-04-07 11:43:28,explorer.exe,,1.02,None
2025-04-07 11:43:50,explorer.exe,Task Switching,1.01,None
2025-04-07 11:44:32,spotify.exe,Spotify,6.03,False
2025-04-07 11:45:47,code.exe,activity_tracker.py - nocrastinator-py-main - Visual Studio Code,7.01,True
2025-04-07 11:46:06,code.exe,app.py - nocrastinator-py-main - Visual Studio Code,8.01,True
2025-04-07 11:46:07,explorer.exe,,1.0,None
2025-04-07 11:46:18,python.exe,Productivity Tracker,11.02,None
2025-04-07 11:46:19,explorer.exe,,1.0,None
2025-04-07 11:46:22,spotify.exe,Spotify,3.0,False
2025-04-07 11:46:24,python.exe,Productivity Tracker,2.0,None
2025-04-07 11:47:19,spotify.exe,Spotify,55.05,False
2025-04-07 11:47:23,python.exe,Productivity Tracker,4.08,None
2025-04-07 11:47:25,spotify.exe,Spotify,2.0,False
2025-04-07 11:48:08,python.exe,Productivity Tracker,43.04,None
2025-04-07 11:49:24,spotify.exe,Spotify,76.07,False
2025-04-07 11:49:27,python.exe,Productivity Tracker,3.02,None
2025-04-07 11:50:46,spotify.exe,Spotify,79.07,False
2025-04-07 11:50:52,python.exe,Productivity Tracker,6.0,None
2025-04-07 11:50:53,explorer.exe,,1.0,None
2025-04-07 11:50:55,python.exe,Productivity Tracker,2.0,None
2025-04-07 11:50:56,explorer.exe,,1.0,None
2025-04-07 11:50:57,msedge.exe,Netflix,1.0,False
2025-04-07 11:50:59,explorer.exe,,2.0,None
2025-04-07 11:51:02,code.exe,app.py - nocrastinator-py-main - Visual Studio Code,3.0,True
2025-04-07 11:51:03,explorer.exe,,1.0,None
2025-04-07 11:51:05,code.exe,app.py - nocrastinator-py-main - Visual Studio Code,2.01,True
2025-04-07 11:51:08,python.exe,Productivity Tracker,3.0,None
2025-04-07 11:51:11,msedge.exe,Netflix,3.0,False
2025-04-07 11:52:21,python.exe,Productivity Tracker,70.06,None
2025-04-07 11:52:23,msedge.exe,Netflix,2.01,False
2025-04-07 11:53:08,python.exe,Productivity Tracker,45.04,None
2025-04-07 11:53:11,msedge.exe,Netflix,3.0,False
2025-04-07 11:53:12,explorer.exe,,1.0,None
2025-04-07 11:54:41,spotify.exe,Spotify,89.06,False
2025-04-07 11:55:06,python.exe,Productivity Tracker,25.02,None
2025-04-07 11:55:20,explorer.exe,,3.0,None
2025-04-07 11:55:23,explorer.exe,Home - File Explorer,3.01,None
2025-04-07 11:55:28,python.exe,Productivity Tracker,5.01,None
2025-04-07 11:55:31,code.exe,app.py - nocrastinator-py-main - Visual Studio Code,3.01,True
2025-04-07 11:55:33,python.exe,Productivity Tracker,2.01,None
2025-04-07 11:55:37,spotify.exe,Spotify,4.01,False
2025-04-07 11:56:54,python.exe,Productivity Tracker,77.1,None
2025-04-07 11:57:23,code.exe,app.py - nocrastinator-py-main - Visual Studio Code,29.02,True
2025-04-07 11:57:28,python.exe,Productivity Tracker,5.02,None
2025-04-07 11:57:35,code.exe,app.py - nocrastinator-py-main - Visual Studio Code,7.01,True
2025-04-07 11:57:38,spotify.exe,Spotify,3.01,False
2025-04-07 11:57:40,code.exe,app.py - nocrastinator-py-main - Visual Studio Code,2.01,True
2025-04-07 11:57:43,spotify.exe,Spotify,3.01,False
2025-04-07 11:58:19,python.exe,Productivity Tracker,35.04,None
2025-04-07 11:58:20,explorer.exe,,1.0,None
2025-04-07 11:58:25,code.exe,app.py - nocrastinator-py-main - Visual Studio Code,5.0,True
2025-04-07 21:30:04,code.exe,app.py - nocrastinator-py-main - Visual Studio Code,1.0,True
2025-04-07 21:30:42,python.exe,Productivity Tracker,37.5,None
2025-04-07 21:31:04,chrome.exe,(48) WhatsApp - Google Chrome,22.02,True
2025-04-07 21:31:05,chrome.exe,New Tab - Google Chrome,1.0,True
2025-04-07 21:31:46,chrome.exe,(48) WhatsApp - Google Chrome,41.04,True
2025-04-07 21:31:53,chrome.exe,New Tab - Google Chrome,7.03,True
2025-04-07 21:32:12,chrome.exe,ChatGPT - Google Chrome,19.02,True
2025-04-07 21:32:22,chrome.exe,Report on Smart Bench - Google Chrome,10.01,True
2025-04-07 21:32:23,chrome.exe,localhost/dashborad/register.html - Google Chrome,1.0,True
2025-04-07 21:32:33,chrome.exe,(48) WhatsApp - Google Chrome,10.01,True
2025-04-07 21:33:00,chrome.exe,Recent download history,27.09,True
2025-04-07 21:33:04,soffice.bin,,4.03,None
2025-04-07 21:33:08,soffice.bin,SRM Project Report Format.docx - XLSX Editor Writer,4.01,None
2025-04-07 21:33:13,soffice.bin,Document in Use,5.01,None
2025-04-07 21:33:14,soffice.bin,,1.0,None
2025-04-07 21:33:18,soffice.bin,Document in Use,4.01,None
2025-04-07 21:33:19,soffice.bin,Untitled 2 - XLSX Editor Writer,1.0,None
2025-04-07 21:33:20,soffice.bin,Document in Use,1.01,None
2025-04-07 21:33:21,soffice.bin,Untitled 2 - XLSX Editor Writer,1.0,None
2025-04-07 21:34:05,soffice.bin,SRM Project Report Format (1).docx - XLSX Editor Writer,44.04,None
2025-04-07 21:34:07,explorer.exe,,2.01,None
2025-04-07 21:34:08,chrome.exe,(48) WhatsApp - Google Chrome,1.01,True
2025-04-07 21:34:16,chrome.exe,Smart Bench Report Guide - Google Chrome,8.01,True
2025-04-07 21:34:22,chrome.exe,New Tab - Google Chrome,6.01,True
2025-04-07 21:34:23,chrome.exe,smart public bench - Google Search - Google Chrome,1.01,True
2025-04-07 21:34:32,chrome.exe,Smart Bench Report Guide - Google Chrome,9.02,True
2025-04-07 21:34:34,chrome.exe,localhost/dashborad/register.html - Google Chrome,2.0,True
2025-04-07 21:34:40,chrome.exe,smart public bench - Google Search - Google Chrome,6.02,True
2025-04-07 21:34:41,soffice.bin,SRM Project Report Format (1).docx - XLSX Editor Writer,1.0,None
2025-04-07 21:34:42,soffice.bin,Untitled 2 - XLSX Editor Writer,1.0,None
2025-04-07 21:34:45,soffice.bin,XLSX Editor,3.01,None
2025-04-07 21:35:24,python.exe,Productivity Tracker,39.05,None
2025-04-07 21:35:26,soffice.bin,XLSX Editor,2.0,None
2025-04-07 21:35:28,code.exe,app.py - nocrastinator-py-main - Visual Studio Code,2.0,True
2025-04-07 21:35:30,python.exe,Productivity Tracker,2.0,None
2025-04-07 21:35:31,chrome.exe,smart public bench - Google Search - Google Chrome,1.0,True
2025-04-07 21:35:34,chrome.exe,localhost/dashborad/register.html - Google Chrome,3.0,True
2025-04-07 21:36:03,chrome.exe,Smart Bench Report Guide - Google Chrome,29.02,True
2025-04-07 21:36:10,chrome.exe,New Tab - Google Chrome,7.01,True
2025-04-07 21:36:13,chrome.exe,grok ai - Google Search - Google Chrome,2.03,True
2025-04-07 21:36:19,chrome.exe,Welcome | xAI - Google Chrome,6.01,True
2025-04-07 21:36:29,chrome.exe,grok ai - Google Search - Google Chrome,10.01,True
2025-04-07 21:36:52,chrome.exe,Smart Bench Report Guide - Google Chrome,23.02,True
2025-04-07 21:36:59,chrome.exe,(48) WhatsApp - Google Chrome,7.02,True
2025-04-07 21:37:15,chrome.exe,Smart Bench Report Guide - Google Chrome,16.03,True
2025-04-07 21:37:54,chrome.exe,(48) WhatsApp - Google Chrome,39.04,True
2025-04-07 21:37:55,chrome.exe,Smart Bench Report Guide - Google Chrome,1.03,True
2025-04-07 21:37:56,chrome.exe,smart public bench - Google Search - Google Chrome,1.01,True
2025-04-07 21:37:57,chrome.exe,Smart Bench Report Guide - Google Chrome,1.0,True
2025-04-07 21:37:58,chrome.exe,smart public bench - Google Search - Google Chrome,1.0,True
2025-04-07 21:38:05,chrome.exe,grok ai - Google Search - Google Chrome,7.01,True
2025-04-07 21:38:40,chrome.exe,ChatGPT - Google Chrome,35.03,True
2025-04-07 21:39:03,chrome.exe,Design Thinking Overview - Google Chrome,23.03,True
2025-04-07 21:39:07,chrome.exe,smart public bench - Google Search - Google Chrome,4.01,True
2025-04-07 21:39:12,chrome.exe,Smart Benches & Solar Benches for Modern Cities | Seedia.city - Google Chrome,5.01,True
2025-04-07 21:39:13,chrome.exe,Smart Bench Report Guide - Google Chrome,1.0,True
2025-04-07 21:39:15,chrome.exe,Smart Benches & Solar Benches for Modern Cities | Seedia.city - Google Chrome,2.01,True
2025-04-07 21:39:16,chrome.exe,localhost/dashborad/register.html - Google Chrome,1.0,True
2025-04-07 21:39:17,chrome.exe,Smart Benches & Solar Benches for Modern Cities | Seedia.city - Google Chrome,1.0,True
2025-04-07 21:39:18,chrome.exe,(48) WhatsApp - Google Chrome,1.0,True
2025-04-07 21:39:31,chrome.exe,Smart Bench Report Guide - Google Chrome,13.02,True
2025-04-07 21:39:35,chrome.exe,Smart Benches & Solar Benches for Modern Cities | Seedia.city - Google Chrome,4.01,True
2025-04-07 21:39:37,chrome.exe,Smart Bench Report Guide - Google Chrome,2.0,True
2025-04-07 21:39:46,chrome.exe,Smart Benches & Solar Benches for Modern Cities | Seedia.city - Google Chrome,9.01,True
2025-04-07 21:39:52,chrome.exe,smart public bench - Google Search - Google Chrome,6.01,True
2025-04-07 21:39:56,chrome.exe,smart public bench methodology - Google Search - Google Chrome,4.01,True
2025-04-07 21:40:01,chrome.exe,(PDF) Design and Implementation of Smart Bench Integrated Solar Cell for Public Space Electricity Saving - Google Chrome,5.01,True
2025-04-07 21:40:08,chrome.exe,Just a moment... - Google Chrome,7.01,True
2025-04-07 21:40:09,chrome.exe,(49) WhatsApp - Google Chrome,1.0,True
2025-04-07 21:40:10,chrome.exe,researchgate.net/publication/357253924_Design_and_Implementation_of_Smart_Bench_Integrated_Solar_Cell_for_Public_Space_Electricity_Saving/citation/download?_tp=eyJjb250ZXh0Ijp7ImZpcnN0UGFnZSI6InB1YmxpY2F0aW9uIiwicGFnZSI6InB1YmxpY2F0aW9uIn19 - Google Chrome,1.0,True
2025-04-07 21:40:15,chrome.exe,Download citation of Design and Implementation of Smart Bench Integrated Solar Cell for Public Space Electricity Saving - Google Chrome,5.01,True
2025-04-07 21:40:17,chrome.exe,Recent download history,2.02,True
2025-04-07 21:40:21,openwith.exe,,4.01,None
2025-04-07 21:40:22,chrome.exe,Download citation of Design and Implementation of Smart Bench Integrated Solar Cell for Public Space Electricity Saving - Google Chrome,1.01,True
2025-04-07 21:40:23,notepad.exe,Notepad,1.0,True
2025-04-07 21:40:26,notepad.exe,citation-357253924.ris - Notepad,3.01,True
2025-04-07 21:40:29,chrome.exe,Download citation of Design and Implementation of Smart Bench Integrated Solar Cell for Public Space Electricity Saving - Google Chrome,3.02,True
2025-04-07 21:40:34,chrome.exe,(PDF) Design and Implementation of Smart Bench Integrated Solar Cell for Public Space Electricity Saving - Google Chrome,5.01,True
2025-04-07 21:41:30,chrome.exe,smart public bench methodology - Google Search - Google Chrome,56.05,True
2025-04-07 21:42:12,chrome.exe,Just a moment... - Google Chrome,42.04,True
2025-04-07 21:42:16,chrome.exe,(49) WhatsApp - Google Chrome,4.01,True
2025-04-07 21:42:27,chrome.exe,(48) WhatsApp - Google Chrome,11.01,True
2025-04-07 21:42:28,chrome.exe,(49) WhatsApp - Google Chrome,1.0,True
2025-04-07 21:43:30,chrome.exe,(48) WhatsApp - Google Chrome,62.05,True
2025-04-07 21:43:31,chrome.exe,localhost/dashborad/register.html - Google Chrome,1.01,True
2025-04-07 21:43:32,chrome.exe,(PDF) Design and implementation of a solar integration in electric smart bench - Google Chrome,1.01,True
2025-04-07 21:43:59,chrome.exe,Smart Bench Report Guide - Google Chrome,27.02,True
2025-04-07 21:44:18,chrome.exe,(PDF) Design and implementation of a solar integration in electric smart bench - Google Chrome,19.02,True
2025-04-07 21:44:19,chrome.exe,Smart Bench Report Guide - Google Chrome,1.01,True
2025-04-07 21:44:20,chrome.exe,(PDF) Design and implementation of a solar integration in electric smart bench - Google Chrome,1.01,True
2025-04-07 21:44:23,chrome.exe,smart public bench methodology - Google Search - Google Chrome,3.0,True
2025-04-07 21:44:46,chrome.exe,(PDF) Design and Implementation of Smart Bench Integrated Solar Cell for Public Space Electricity Saving - Google Chrome,23.02,True
2025-04-07 21:44:49,chrome.exe,Smart Bench Report Guide - Google Chrome,3.01,True
2025-04-07 21:44:50,chrome.exe,(49) WhatsApp - Google Chrome,1.01,True
2025-04-07 21:46:07,chrome.exe,(48) WhatsApp - Google Chrome,77.07,True
2025-04-07 21:46:10,chrome.exe,(49) WhatsApp - Google Chrome,3.01,True
2025-04-07 21:46:12,chrome.exe,(48) WhatsApp - Google Chrome,2.0,True
2025-04-07 21:46:13,chrome.exe,Untitled - Google Chrome,1.0,True
2025-04-07 21:46:30,chrome.exe,Just a moment... - Google Chrome,17.02,True
2025-04-07 21:46:31,chrome.exe,(48) WhatsApp - Google Chrome,1.02,True
2025-04-07 21:46:40,chrome.exe,Just a moment... - Google Chrome,9.02,True
2025-04-07 21:46:43,chrome.exe,(48) WhatsApp - Google Chrome,3.01,True
2025-04-07 21:46:45,chrome.exe,Just a moment... - Google Chrome,2.0,True
2025-04-07 21:46:49,chrome.exe,(PDF) Design and Implementation of Smart Bench Integrated Solar Cell for Public Space Electricity Saving - Google Chrome,4.01,True
2025-04-07 21:46:50,chrome.exe,Just a moment... - Google Chrome,1.0,True
2025-04-07 21:46:52,chrome.exe,(48) WhatsApp - Google Chrome,2.0,True
2025-04-07 21:46:54,chrome.exe,Just a moment... - Google Chrome,2.0,True
2025-04-07 21:46:57,chrome.exe,(48) WhatsApp - Google Chrome,3.01,True
2025-04-07 21:46:59,chrome.exe,Smart Bench Report Guide - Google Chrome,2.01,True
2025-04-07 21:47:19,chrome.exe,Just a moment... - Google Chrome,20.02,True
2025-04-07 21:47:21,chrome.exe,(48) WhatsApp - Google Chrome,2.0,True
2025-04-07 21:47:29,chrome.exe,Just a moment... - Google Chrome,8.01,True
2025-04-07 21:47:32,chrome.exe,(48) WhatsApp - Google Chrome,3.01,True
2025-04-07 21:47:47,chrome.exe,Just a moment... - Google Chrome,15.02,True
2025-04-07 21:47:56,chrome.exe,(48) WhatsApp - Google Chrome,9.01,True
2025-04-07 21:47:57,explorer.exe,,1.01,None
2025-04-07 21:47:59,applicationframehost.exe,Microsoft Store,2.02,None
2025-04-07 21:48:13,explorer.exe,,13.16,None
2025-04-08 13:21:31,code.exe,app.py - nocrastinator-py-main - Visual Studio Code,1.0,True
2025-04-08 13:22:16,python.exe,Productivity Tracker,45.06,None
2025-04-08 13:22:25,code.exe,app.py - nocrastinator-py-main - Visual Studio Code,9.08,True
2025-04-08 13:22:47,code.exe,activity_log.csv - nocrastinator-py-main - Visual Studio Code,22.04,True
2025-04-08 13:22:48,code.exe,Untitled-1 - nocrastinator-py-main - Visual Studio Code,1.01,True
2025-04-08 13:22:50,code.exe,app.py - nocrastinator-py-main - Visual Studio Code,2.01,True
